Year,Tournament,Winner,Runner-up,Score
1950,U.S. National Championships,Margaret Osborne duPont,Doris Hart,"6–4, 6–3"
1950,Wimbledon Championships,Louise Brough,Margaret Osborne duPont,"6–1, 3–6, 6–1"
1950,French Championships,Doris Hart,Patricia Todd,"6–4, 4–6, 6–2"
1950,Australian Championships,A. Louise Brough,Doris Hart,"6–4, 3–6, 6–4"
1949,U.S. National Championships,Margaret Osborne duPont,Doris Hart,"6–3, 6–1"
1949,Wimbledon Championships,Louise Brough,Margaret Osborne duPont,"10–8, 1–6, 10–8"
1949,French Championships,Margaret Osborne duPont,Nelly Adamson,"7–5, 6–2"
1949,Australian Championships,Doris Hart,Nancye Bolton,"6–3, 6–4"
1948,U.S. National Championships,Margaret Osborne duPont,A. Louise Brough,"4–6, 6–4, 15–13"
1948,Wimbledon Championships,Louise Brough,Doris Hart,"6–3, 8–6"
1948,French Championships,Nelly Landry,Shirley Fry,"6–2, 0–6, 6–0"
1948,Australian Championships,Nancye Wynne Bolton,Marie Toomey,"6–3, 6–1"
1947,U.S. National Championships,A. Louise Brough,Margaret Osborne,"8–6, 4–6, 6–1"
1947,Wimbledon Championships,Margaret Osborne duPont,Doris Hart,"6–2, 6–4"
1947,French Championships,Patricia Todd,Doris Hart,"6–3, 3–6, 6–4"
1947,Australian Championships,Nancye Wynne Bolton,Nell Hopman,"6–3, 6–2"
1946,U.S. National Championships,Pauline Betz,Doris Hart,"11–9, 6–3"
1946,Wimbledon Championships,Pauline Betz,Louise Brough,"6–2, 6–4"
1946,French Championships,Margaret Osborne duPont,Pauline Betz,"1–6, 8–6, 7–5"
1946,Australian Championships,Nancye Wynne Bolton,Joyce Fitch,"6–4, 6–4"
1945,U.S. National Championships,Sarah Palfrey Cooke,Pauline Betz,"3–6, 8–6, 6–4"
1944,U.S. National Championships,Pauline Betz,Margaret Osborne,"6–3, 8–6"
1943,U.S. National Championships,Pauline Betz,A. Louise Brough,"6–3, 5–7, 6–3"
1942,U.S. National Championships,Pauline Betz,A. Louise Brough,"4–6, 6–1, 6–4"
1941,U.S. National Championships,Sarah Palfrey Cooke,Pauline Betz,"7–5, 6–2"
1940,U.S. National Championships,Alice Marble,Helen Jacobs,"6–2, 6–3"
1940,Australian Championships,Nancye Wynne Bolton,Thelma Coyne,"5–7, 6–4, 6–0"
1939,U.S. National Championships,Alice Marble,Helen Jacobs,"6–0, 8–10, 6–4"
1939,Wimbledon Championships,Alice Marble,Kay Stammers,"6–2, 6–0"
1939,French Championships,Simone Mathieu,Jadwiga Jędrzejowska,"6–3, 8–6"
1939,Australian Championships,Emily Westacott,Nell Hopman,"6–1, 6–2"
1938,U.S. National Championships,Alice Marble,Nancye Wynne,"6–0, 6–3"
1938,Wimbledon Championships,Helen Wills Moody,Helen Jacobs,"6–4, 6–0"
1938,French Championships,Simone Mathieu,Nelly Adamson,"6–0, 6–3"
1938,Australian Championships,Dorothy Bundy,Dorothy Stevenson,"6–3, 6–2"
1937,U.S. National Championships,Anita Lizana,Jadwiga Jędrzejowska,"6–4, 6–2"
1937,Wimbledon Championships,Dorothy Round,Jadwiga Jędrzejowska,"6–2, 2–6, 7–5"
1937,French Championships,Hilde Sperling,Simone Mathieu,"6–2, 6–4"
1937,Australian Championships,Nancye Wynne,Emily Westacott,"6–3, 5–7, 6–4"
1936,U.S. National Championships,Alice Marble,Helen Jacobs,"4–6, 6–3, 6–2"
1936,Wimbledon Championships,Helen Jacobs,Hilde Kranwinkel Sperling,"6–2, 4–6, 7–5"
1936,French Championships,Hilde Sperling,Simone Mathieu,"6–3, 6–4"
1936,Australian Championships,Joan Hartigan,Nancye Wynne,"6–4, 6–4"
1935,U.S. National Championships,Helen Jacobs,Sarah H. Palfrey,"6–2, 6–4"
1935,Wimbledon Championships,Helen Wills Moody,Helen Jacobs,"6–3, 3–6, 7–5"
1935,French Championships,Hilde Sperling,Simone Mathieu,"6–2, 6–1"
1935,Australian Championships,Dorothy Round,Nancy Lyle,"1–6, 6–1, 6–3"
1934,U.S. National Championships,Helen Jacobs,Sarah H. Palfrey,"6–1, 6–4"
1934,Wimbledon Championships,Dorothy Round,Helen Jacobs,"6–2, 5–7, 6–3"
1934,French Championships,Margaret Scriven,Helen Jacobs,"7–5, 4–6, 6–1"
1934,Australian Championships,Joan Hartigan,Margaret Molesworth,"6–1, 6–4"
1933,U.S. National Championships,Helen Jacobs,Helen Wills Moody,"8–6, 3–6, 3–0, ret"
1933,Wimbledon Championships,Helen Wills Moody,Dorothy Round,"6–4, 6–8, 6–3"
1933,French Championships,Margaret Scriven,Simone Mathieu,"6–2, 4–6, 6–4"
1933,Australian Championships,Joan Hartigan,Coral Buttsworth,"6–4, 6–3"
1932,U.S. National Championships,Helen Jacobs,Carolin A. Babcock,"6–2, 6–2"
1932,Wimbledon Championships,Helen Wills Moody,Helen Jacobs,"6–3, 6–1"
1932,French Championships,Helen Wills Moody,Simone Mathieu,"7–5, 6–1"
1932,Australian Championships,Coral Buttsworth,Katherine Le Messurier,"9–7, 6–4"
